"recordNo","rackNo","face","sectionNo","sectionLabel","pinXRatio","pinYRatio","pinType","level","member","location","streetFrom","streetTo","memberSize","corrosionRank","remarks","measuredThicknessMm","overviewPhotoFile","overviewLatitude","overviewLongitude","overviewAccuracyMeters","overviewLocationCapturedAtMillis","closeupPhotoFile","closeupLatitude","closeupLongitude","closeupAccuracyMeters","closeupLocationCapturedAtMillis"
"Area2-X-S01-001","Area2","Common","1","","0.23657978","0.463649","腐食所見","Z3","ガセットプレート (GPL)","X3通り","Y7-4","","CT-100×100×5.5×8 (G3)","D","6.0","3.9","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-001.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-002","Area2","Common","1","","0.26483977","0.4649712","腐食所見","Z3","ガセットプレート (GPL)","X3通り","Y7-6","","CT-100×100×5.5×8 (G3)","D","6.0","4.9","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-002.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-003","Area2","Common","1","","0.24878432","0.46304208","腐食所見","Z3","ガセットプレート (GPL)","X3通り","Y7-5","","CT-100×100×5.5×8 (G3)","D","6.0","3.7","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-003.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-004","Area2","Common","1","","0.27675185","0.46366164","腐食所見","Z3","スチフナー (STF)","X3通り","Y7-7","","CT-100×100×5.5×8 (G3)","D","6.0","4.1","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-004.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-005","Area2","Common","1","","0.3082337","0.46462625","腐食所見","Z3","フランジ (FL)","X3通り","Y7-9","","CT-100×100×5.5×8 (G3)","D","8.0","6.5","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-005.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-006","Area2","Common","1","","0.3372391","0.46277124","腐食所見","Z3","フランジ (FL)","X3通り","Y7-11","","CT-100×100×5.5×8 (G3)","D","8.0","5.7","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-006.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-007","Area2","Common","1","","0.35579222","0.46451223","腐食所見","Z3","スプライスプレート (SP)","X3通り","Y7-12","Y8-1","CT-100×100×5.5×8 (G3)","C","表面錆","","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-007.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-008","Area2","Common","1","","0.37709388","0.46531427","腐食所見","Z3","ガセットプレート (GPL)","X3通り","Y8-2","","CT-100×100×5.5×8 (G3)","D","6.0","5.4","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-008.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-009","Area2","Common","1","","0.39053923","0.46392676","腐食所見","Z3","ガセットプレート (GPL)","X3通り","Y8-3","","CT-100×100×5.5×8 (G3)","B","表面錆","","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-009.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-010","Area2","Common","1","","0.43159536","0.46296304","腐食所見","Z3","ガセットプレート (GPL)","X3通り","Y8-6","","CT-100×100×5.5×8 (G3)","貫通穴","表面錆","","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-010.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-011","Area2","Common","1","","0.4612652","0.46386206","腐食所見","Z3","フランジ (FL)","X3通り","Y8-8","","CT-100×100×5.5×8 (G3)","D","8.0","7.0","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-011.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-012","Area2","Common","1","","0.47657576","0.46519724","腐食所見","Z3","ガセットプレート (GPL)","X3通り","Y8-9","","CT-100×100×5.5×8 (G3)","D","6.0","3.8","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-012.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-013","Area2","Common","1","","0.5063033","0.46391755","腐食所見","Z3","ガセットプレート (GPL)","X3通り","Y8-11","","CT-100×100×5.5×8 (G3)","D","6.0","5.3","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-013.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-014","Area2","Common","1","","0.5231478","0.46506074","腐食所見","Z3","ベースプレート (BP)","X3通り","Y9-1","Y9-2","CT-100×100×5.5×8 (G3)","D","6.0","4.5","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-014.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-015","Area2","Common","1","","0.547004","0.4586219","腐食所見","その他","その他","X3通り","Y9-3","","CT-97×150×6×9 (G2)","その他","表面錆","","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-015.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
